1 2 * * * * * 8 * * 11 12 * 14 15 * * * 19 * 21 * 23 24 25 26 * 28 * 30 * * * 34 35 * * 38 * 40 * 42 * 44 * 46 47 * * 50
* * * * 17 * 19 * * * * * * * 27 28 * 30 31 32 33 34 35 * * 38 39 * 41 42 * 44 * * * * * 50 * * 3 4 5 * 7 8 * * * *
* 15 16 17 18 19 * * 22 23 24 25 26 27 28 * * 31 32 * 34 35 36 * * * * 41 42 * * * 46 * 48 * 50 * 2 * 4 * 6 * 8 9 * * 12 13
15 * 17 * 19 20 * * * * 25 26 27 * 29 30 * * * 34 35 * 37 38 * * * 42 * 44 45 * 47 * 49 * 1 2 3 4 * 6 7 8 9 * 11 12 13 *
16 17 * * * 21 22 23 24 * 26 * * * * 31 32 33 * 35 * 37 38 39 * * * * 44 * 46 47 48 49 50 1 2 * * 5 * * * 9 * * * 13 * *
* * 19 * * * * 24 25 * 27 28 29 * 31 * 33 34 35 * * 38 39 40 41 42 43 * * * 47 48 49 50 * * 3 4 5 6 * * * 10 11 12 * 14 15 16
* * 20 * * * 24 25 26 * 28 29 30 31 32 * 34 35 * * 38 39 * 41 42 43 44 45 46 * * 49 * * 2 * * 5 * 7 8 9 * * 12 * * 15 16 17
* * * * * 24 25 * 27 28 * 30 * * 33 34 * 36 37 38 * 40 41 * * * 45 * 47 * 49 50 * 2 * * 5 * * 8 9 10 * * 13 * * * * *
* * 22 23 * * * * 28 29 30 * 32 * 34 * * 37 * * 40 41 * * 44 * * 47 * * 50 * 2 * 4 5 * * 8 * * * 12 13 * * * * * *
* 22 * 24 * 26 * 28 * 30 * 32 33 34 * * 37 * 39 40 41 42 * 44 45 * * * 49 50 * 2 3 4 * 6 7 8 * 10 * 12 13 14 * 16 * 18 * 20
* * 24 25 * 27 28 * 30 31 * * 34 * * 37 38 39 * 41 42 43 * * 46 47 48 * * * 2 3 4 * 6 * * 9 * * * 13 * 15 16 * 18 * 20 21
23 * 25 26 27 * 29 30 31 32 33 * * 36 37 * * * * 42 * 44 45 46 47 * 49 50 * * * 4 5 6 7 8 9 10 * 12 13 14 * * * 18 * * * 22
* 25 26 27 * 29 * 31 32 * 34 * 36 37 * 39 40 41 42 * 44 * * * 48 * 50 * * 3 4 * * 7 * 9 10 11 * 13 14 15 16 17 * 19 * 21 * *
* 26 27 * 29 * * * * * 35 * * 38 * * * 42 43 * * 46 47 48 * * 1 * * 4 5 6 * * 9 * * 12 13 * 15 * * 18 * * * 22 * *
* 27 28 29 30 31 32 * 34 35 36 * * 39 40 * 42 43 * * 46 47 * 49 50 1 2 3 * * * 7 * * * 11 * * * * 16 * * * * 21 * * * 25
27 28 * 30 * 32 33 34 35 36 37 * * * * * * * * 46 47 48 * * * 2 3 * * * 7 8 9 10 * 12 * * * * * * * * * 22 23 24 25 26
* * * 31 32 * 34 * 36 * 38 * * * * 43 * * 46 47 * 49 50 * 2 3 4 5 * 7 8 * * * * 13 * * * 17 * 19 20 * * 23 * * * *
29 30 31 32 * * * 36 * 38 39 * * * 43 * 45 * * 48 * 50 1 * * 4 5 6 7 * 9 * 11 * * * * * * * * 20 21 22 * 24 25 * * 28
30 31 * 33 * 35 * * 38 39 * * * 43 * 45 46 * * 49 50 * * 3 * 5 * * 8 * 10 * * 13 14 15 16 * 18 * * 21 * 23 24 25 26 * * *
* 32 * * * 36 * 38 39 40 * * * * * 46 47 48 * * 1 2 * * 5 * * * * 10 * 12 13 * * 16 17 18 19 * * 22 * 24 * * * 28 29 *
32 * 34 35 36 37 38 39 * * * * 44 * * * * 49 * 1 * * 4 * * * 8 * * * * * 14 15 * 17 * * 20 21 * 23 * * * * 28 * 30 *
33 34 35 36 * * * * 41 42 * 44 * * * * 49 50 1 2 * 4 5 6 7 * 9 10 11 12 * * 15 16 17 18 19 20 21 22 23 * 25 26 * 28 29 * * *
* * * 37 * * * 41 42 * * * * 47 * * 50 1 * 3 * 5 6 * * * * 11 12 13 * 15 * * * 19 20 21 22 23 24 25 * * * * * * 32 33
35 * * 38 * 40 41 42 * 44 * 46 * 48 49 * * 2 3 4 5 * 7 * 9 10 11 * * 14 15 * * 18 * 20 21 * 23 24 * 26 * 28 * 30 31 32 * 34
* * * 39 * 41 42 43 44 * 46 47 * * * 1 * 3 * * 6 7 8 * 10 11 12 * 14 * * 17 * 19 * * 22 23 * 25 * 27 * 29 * 31 * 33 * *
37 * 39 40 41 42 43 * * 46 47 * 49 * * 2 3 4 5 * * 8 * * * * 13 14 15 * 17 * * * * 22 * 24 * * 27 28 29 30 * 32 * * * 36
* 39 40 41 42 43 * 45 * * * 49 50 1 2 * * * * 7 * 9 10 * 12 13 14 * 16 17 18 * * * * * * * * 27 28 * * 31 * 33 34 35 * 37
39 * 41 42 43 * 45 46 * * 49 * * * 3 * 5 * * 8 9 * * * * 14 15 * * * 19 20 21 * 23 * * * 27 * * * * 32 * * * * * *
* * 42 * * * * * * 49 50 * * * * * 6 * 8 * 10 11 * * 14 15 * 17 * 19 20 * * 23 * * 26 27 * * * * * 33 * * 36 37 * 39
41 * * 44 * 46 * * 49 * * 2 * 4 5 * * 8 9 * 11 * 13 * * * * * 19 * 21 * * 24 25 26 27 28 * 30 31 32 * 34 35 36 37 38 * 40
42 43 * * 46 47 * * 50 1 2 3 4 * 6 7 8 9 10 * * 13 * 15 * * * 19 * 21 * 23 * * * 27 * 29 30 * * 33 34 35 36 * 38 * * *
43 44 45 46 * * * 50 * 2 * 4 * 6 7 * * 10 * 12 13 14 15 16 17 * 19 * * * 23 24 * * * 28 29 * * 32 33 * * 36 37 * 39 * 41 *
* 45 * 47 48 * * * * 3 * 5 6 7 8 9 10 11 * 13 * * * * 18 19 20 21 22 23 * 25 26 * 28 29 30 31 * * 34 35 36 * * * 40 41 42 *
* * 47 * 49 50 * * 3 * * * * * 9 10 * 12 13 14 15 16 * 18 * 20 * * 23 24 * * 27 * * 30 * * * * * * * * 39 40 * * 43 44
46 * * * * * 2 * 4 * * * 8 * * * * * 14 15 16 17 18 19 20 21 22 * 24 25 26 * 28 * * 31 32 33 * * * * 38 * * * * * * 45
47 * * * * 2 3 4 5 6 7 8 9 10 * * * * * * * * * * * * 23 24 * 26 27 28 29 30 * 32 33 * * 36 37 38 * * * * 43 * 45 46
* 49 50 1 * 3 * 5 * * 8 * * 11 12 13 * 15 * 17 * * * 21 * 23 24 25 * 27 28 29 30 * 32 33 34 * 36 37 * 39 * 41 * * 44 * * 47
* * 1 * 3 * * * 7 * * * 11 * 13 14 * 16 * 18 * * 21 22 23 24 25 26 * * * 30 * * * 34 * 36 * 38 * * 41 * 43 44 45 46 * *
* * * * 4 5 6 * * 9 * * 12 * 14 15 * 17 * 19 20 21 * 23 * 25 * * 28 * * 31 32 33 * 35 36 37 * 39 40 41 42 43 44 45 46 47 * *
